         755717211 function calls (686172413 primitive calls) in 384.441 seconds

   Ordered by: cumulative time
   List reduced from 1640 to 60 due to restriction <60>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.064    0.064  384.798  384.798 measurement_runner.py:154(date_job)
       57    0.277    0.005  265.772    4.663 native_discovery.py:26(scan_branch)
       12    0.937    0.078  125.734   10.478 historical_flow.py:272(scan_sires)
       23    0.876    0.038  113.870    4.951 historical_flow.py:137(_flow_episode)
       23    8.299    0.361  108.200    4.704 historical_flow.py:27(local_observations)
      194    1.408    0.007   98.136    0.506 historical_features.py:215(local)
  2393132    5.050    0.000   96.026    0.000 mbp1_views.py:141(iter_mbp1_window)
      241    0.413    0.002   84.051    0.349 historical_runner.py:161(write_job)
        5    0.204    0.041   79.050   15.810 historical_process_scanners.py:174(scan_jetbundle)
  2393026   22.869    0.000   66.385    0.000 adapters.py:391(normalize_mbp1_row)
20023851/242   26.257    0.000   63.077    0.261 historical_runner.py:61(serializable)
       57    0.013    0.000   57.166    1.003 historical_runner.py:218(domain_receipts)
      381    0.007    0.000   49.109    0.129 historical_features.py:230(domain)
      381    0.004    0.000   49.102    0.129 historical_features.py:33(recipe)
  1952684    1.725    0.000   40.425    0.000 event_time.py:87(add)
47965066/19634225   23.913    0.000   38.507    0.000 protocol.py:220(jsonable)
  1817954   19.544    0.000   38.370    0.000 event_time.py:95(finish)
306808750/306808620   35.452    0.000   35.452    0.000 {built-in method builtins.isinstance}
      381    0.247    0.001   35.426    0.093 __init__.py:29(wrapped)
20781015/328916   17.239    0.000   33.277    0.000 copy.py:118(deepcopy)
     1861    0.149    0.000   32.583    0.018 copy.py:191(_deepcopy_list)
324881/324773    5.185    0.000   31.588    0.000 copy.py:217(_deepcopy_dict)
       28    0.700    0.025   30.894    1.103 event_cache.py:59(cached_window)
     2300    0.042    0.000   23.975    0.010 historical_runner.py:36(file_digest)
