t,o,h,l,c,v,instrument_id
1771930800000,24842.5,24849.0,24838.25,24841.75,186.0,42002475
1771930860000,24842.5,24843.25,24835.25,24836.75,78.0,42002475
1771930920000,24837.0,24839.5,24834.0,24838.25,66.0,42002475
1771930980000,24839.0,24853.25,24838.5,24852.5,114.0,42002475
1771931040000,24852.0,24852.75,24845.5,24846.5,63.0,42002475
1771931100000,24846.75,24848.0,24842.0,24847.0,88.0,42002475
1771931160000,24846.75,24848.5,24844.75,24847.0,76.0,42002475
1771931220000,24846.75,24848.5,24845.0,24848.5,46.0,42002475
1771931280000,24847.5,24847.5,24841.0,24841.0,35.0,42002475
1771931340000,24841.25,24841.5,24830.75,24830.75,154.0,42002475
1771931400000,24830.0,24833.5,24827.75,24831.75,151.0,42002475
1771931460000,24832.25,24837.5,24831.5,24833.75,62.0,42002475
1771931520000,24833.75,24834.0,24830.25,24832.25,31.0,42002475
1771931580000,24833.25,24833.25,24830.0,24830.25,23.0,42002475
1771931640000,24830.25,24831.5,24822.75,24824.5,118.0,42002475
1771931700000,24825.5,24828.75,24820.75,24828.5,156.0,42002475
1771931760000,24829.0,24831.0,24824.75,24829.5,103.0,42002475
1771931820000,24830.25,24831.5,24827.75,24831.0,70.0,42002475
1771931880000,24830.75,24832.75,24824.25,24827.25,70.0,42002475
1771931940000,24826.75,24826.75,24822.0,24825.75,49.0,42002475
1771932000000,24825.75,24827.25,24820.25,24823.25,55.0,42002475
1771932060000,24821.75,24824.0,24820.0,24822.0,72.0,42002475
1771932120000,24821.5,24823.75,24817.5,24819.0,78.0,42002475
1771932180000,24819.0,24819.5,24814.25,24816.75,66.0,42002475
1771932240000,24816.0,24821.25,24815.75,24818.25,71.0,42002475
1771932300000,24817.5,24824.75,24816.0,24823.5,80.0,42002475
1771932360000,24823.0,24824.25,24819.75,24821.25,42.0,42002475
1771932420000,24821.25,24822.0,24818.25,24819.75,20.0,42002475
1771932480000,24819.5,24821.5,24818.0,24819.5,62.0,42002475
1771932540000,24819.0,24822.5,24818.5,24822.25,68.0,42002475
1771932600000,24822.0,24825.75,24820.5,24824.75,43.0,42002475
1771932660000,24824.75,24828.25,24824.0,24825.25,55.0,42002475
1771932720000,24825.75,24826.25,24823.5,24826.25,27.0,42002475
1771932780000,24825.5,24825.5,24821.25,24823.25,42.0,42002475
1771932840000,24824.25,24825.25,24817.0,24817.0,94.0,42002475
1771932900000,24816.75,24817.5,24808.75,24815.75,207.0,42002475
1771932960000,24815.75,24822.0,24814.25,24821.0,70.0,42002475
1771933020000,24821.25,24821.5,24817.75,24818.25,122.0,42002475
1771933080000,24816.5,24819.5,24814.5,24818.0,68.0,42002475
1771933140000,24817.0,24817.25,24811.0,24811.75,81.0,42002475
1771933200000,24811.0,24814.0,24809.0,24811.25,50.0,42002475
1771933260000,24812.75,24816.0,24811.75,24815.0,76.0,42002475
1771933320000,24814.0,24815.75,24812.25,24813.0,57.0,42002475
1771933380000,24813.75,24817.75,24813.5,24817.0,39.0,42002475
1771933440000,24816.0,24822.0,24815.75,24819.0,80.0,42002475
1771933500000,24819.0,24829.25,24818.75,24829.25,91.0,42002475
1771933560000,24829.25,24830.25,24825.75,24825.75,63.0,42002475
1771933620000,24825.75,24825.75,24822.25,24822.5,24.0,42002475
1771933680000,24821.5,24823.75,24817.75,24822.25,68.0,42002475
1771933740000,24821.75,24821.75,24816.0,24816.5,30.0,42002475
1771933800000,24816.25,24821.25,24813.5,24821.0,58.0,42002475
1771933860000,24821.25,24822.5,24812.0,24815.5,61.0,42002475
1771933920000,24817.0,24821.5,24817.0,24817.25,52.0,42002475
1771933980000,24817.25,24817.5,24814.75,24814.75,22.0,42002475
1771934040000,24815.75,24819.5,24814.75,24816.5,39.0,42002475
1771934100000,24818.0,24822.0,24815.75,24821.25,52.0,42002475
1771934160000,24821.5,24825.0,24820.25,24824.75,52.0,42002475
1771934220000,24825.25,24828.5,24817.25,24827.5,191.0,42002475
1771934280000,24827.0,24834.0,24827.0,24829.25,177.0,42002475
1771934340000,24830.25,24834.0,24829.75,24833.0,48.0,42002475
1771934400000,24832.5,24859.0,24828.5,24848.5,1203.0,42002475
1771934460000,24847.75,24857.75,24842.0,24855.0,434.0,42002475
1771934520000,24856.0,24871.5,24853.0,24870.25,451.0,42002475
1771934580000,24870.0,24877.75,24868.25,24872.0,431.0,42002475
1771934640000,24871.5,24874.25,24859.75,24870.25,543.0,42002475
1771934700000,24871.0,24885.0,24869.25,24884.5,399.0,42002475
1771934760000,24884.25,24902.25,24884.25,24890.75,841.0,42002475
1771934820000,24890.25,24891.0,24881.5,24882.75,335.0,42002475
1771934880000,24882.75,24885.5,24876.25,24880.5,234.0,42002475
1771934940000,24878.25,24883.25,24870.0,24874.75,447.0,42002475
1771935000000,24873.5,24875.5,24862.75,24863.75,213.0,42002475
1771935060000,24863.0,24867.25,24861.25,24862.25,181.0,42002475
1771935120000,24863.5,24880.5,24863.0,24879.5,165.0,42002475
1771935180000,24879.5,24884.0,24871.25,24882.0,243.0,42002475
1771935240000,24882.25,24883.0,24871.25,24872.25,147.0,42002475
1771935300000,24871.75,24873.5,24863.0,24865.25,213.0,42002475
1771935360000,24864.5,24865.25,24854.0,24854.0,183.0,42002475
1771935420000,24855.5,24861.75,24854.0,24856.5,129.0,42002475
1771935480000,24855.0,24855.25,24847.75,24855.0,176.0,42002475
