bucket,t,c,h,l,members
1763643600000,1763643600000,25168.5,25181.0,25150.75,5
1763643900000,1763643900000,25166.25,25181.0,25158.0,5
1763644200000,1763644200000,25171.0,25172.0,25155.5,5
1763644500000,1763644500000,25148.5,25178.25,25144.5,5
1763644800000,1763644800000,25135.25,25150.25,25123.5,5
1763645100000,1763645100000,25142.25,25144.25,25120.75,5
1763645400000,1763645400000,25187.25,25244.0,25130.0,5
1763645700000,1763645700000,25180.5,25205.5,25172.5,5
1763646000000,1763646000000,25197.25,25207.25,25167.75,5
1763646300000,1763646300000,25242.5,25244.75,25185.0,5
1763646600000,1763646600000,25250.25,25264.75,25234.25,5
1763646900000,1763646900000,25229.5,25252.75,25222.5,5
1763647200000,1763647200000,25234.0,25249.0,25222.5,5
1763647500000,1763647500000,25215.25,25238.25,25210.5,5
1763647800000,1763647800000,25208.25,25217.5,25199.5,5
1763648100000,1763648100000,25230.0,25234.0,25200.0,5
1763648400000,1763648400000,25207.5,25239.25,25207.5,5
1763648700000,1763648700000,25210.75,25234.5,25203.25,5
1763649000000,1763649000000,25189.25,25249.0,25151.25,5
1763649300000,1763649300000,25209.25,25227.75,25171.75,5
1763649600000,1763649600000,25211.5,25237.25,25146.0,5
1763649900000,1763649900000,25213.25,25268.0,25169.75,5
1763650200000,1763650200000,25248.25,25259.0,25212.5,5
1763650500000,1763650500000,25274.25,25291.5,25240.25,5
1763650800000,1763650800000,25279.0,25299.75,25253.5,5
1763651100000,1763651100000,25198.0,25281.0,25185.0,5
1763651400000,1763651400000,25184.75,25220.25,25159.75,5
1763651700000,1763651700000,25218.25,25236.5,25156.75,5
1763652000000,1763652000000,25249.5,25261.0,25193.5,5
1763652300000,1763652300000,25258.25,25268.25,25228.25,5
1763652600000,1763652600000,25262.0,25281.25,25239.0,5
1763652900000,1763652900000,25291.75,25310.0,25258.75,5
1763653200000,1763653200000,25297.25,25305.75,25267.0,5
1763653500000,1763653500000,25230.75,25300.5,25228.75,5
1763653800000,1763653800000,25193.5,25238.5,25192.25,5
1763654100000,1763654100000,25162.75,25206.0,25157.5,5
1763654400000,1763654400000,25098.75,25164.75,25095.25,5
1763654700000,1763654700000,25066.0,25112.5,25062.0,5
1763655000000,1763655000000,25010.75,25069.75,25005.25,5
1763655300000,1763655300000,24939.5,25012.0,24919.25,5
1763655600000,1763655600000,24915.5,24974.75,24892.5,5
1763655900000,1763655900000,24905.0,24977.0,24886.25,5
1763656200000,1763656200000,24869.25,24928.0,24853.5,5
1763656500000,1763656500000,24814.0,24876.75,24765.5,5
1763656800000,1763656800000,24742.0,24814.25,24728.5,5
1763657100000,1763657100000,24747.0,24791.25,24700.5,5
1763657400000,1763657400000,24650.0,24803.0,24630.0,5
1763657700000,1763657700000,24554.75,24659.5,24512.0,5
