as_of_ns,volume,price_ticks_times_volume,vwap
1771939260000000000,83352,8278306696,24829.35831173817064977445052
1771939320000000000,83495,8292511379,24829.36516857296844122402539
1771939380000000000,83626,8305523901,24829.37095221581804701886973
1771939440000000000,83782,8321023463,24829.38895884557542192833783
1771939500000000000,83924,8335133435,24829.40945081264000762594729
1771939560000000000,84249,8367442342,24829.50047478308347873565265
1771939620000000000,84428,8385234357,24829.54220460036954564836310
1771939680000000000,84530,8395373404,24829.56762096297172601443275
1771939740000000000,84639,8406209530,24829.59844161674878011318659
1771939800000000000,84743,8416549790,24829.63132648124328853120612
1771939860000000000,85126,8454644521,24829.79501268707562906749994
1771939920000000000,85377,8479608509,24829.89712978905325790318236
1771939980000000000,85541,8495915940,24829.95271273424439742345776
1771940040000000000,85667,8508441360,24829.98517515496048653507185
1771940100000000000,85773,8518981025,24830.01942627633404451284204
1771940160000000000,85860,8527630648,24830.04498020032611227579781
1771940220000000000,85967,8538268036,24830.07443553921853734572569
1771940280000000000,86056,8547115862,24830.09860439713674816398624
1771940340000000000,86153,8556757430,24830.12033823546481260083804
1771940400000000000,86411,8582397942,24830.16613046950041082732522
1771940460000000000,86608,8601974324,24830.19560548679105856271938
1771940520000000000,86894,8630409976,24830.28165350887287960043271
1771940580000000000,87131,8653980435,24830.37160998955595597433749
1771940640000000000,87479,8688599502,24830.52933275414670949599332
1771940700000000000,87671,8707701845,24830.62199872249660663161137
1771940760000000000,87902,8730683164,24830.72957384359855293394917
1771940820000000000,88049,8745307825,24830.79826289906756465150087
1771940880000000000,88199,8760232168,24830.87157450764747899636050
1771940940000000000,88612,8801335471,24831.10490396334582223626597
1771941000000000000,88853,8825320967,24831.24083317389395968622331
1771941060000000000,88991,8839051927,24831.30857895742266071849962
1771941120000000000,89213,8861144040,24831.42602535504915202941275
1771941180000000000,89558,8895466029,24831.57849940820473882846870
1771941240000000000,89673,8906908115,24831.63303056661425401179842
1771941300000000000,89914,8930887616,24831.74927152612496385434971
1771941360000000000,90389,8978168505,24832.02741760612463906006262
1771941420000000000,90571,8996285018,24832.13450773426372679996909
1771941480000000000,90688,9007929427,24832.19782937103034580098800
1771941540000000000,90774,9016488643,24832.24448355255910282680063
1771941600000000000,90847,9023752942,24832.28103844926084515724240
1771941660000000000,91147,9053602979,24832.42174454452697291188958
1771941720000000000,91355,9074298321,24832.51688741721854304635762
1771941780000000000,91518,9090516398,24832.59139732074564566533360
1771941840000000000,91742,9112801757,24832.68774661550870920625232
1771941900000000000,92245,9162835088,24832.87735920646105479971814
1771941960000000000,92418,9180041668,24832.93749053214741716981540
1771942020000000000,92666,9204706976,24833.02121597997107892862539
1771942080000000000,92809,9218929785,24833.07056697087566938551218
1771942140000000000,93033,9241204245,24833.13513753184353938924898
1771942200000000000,93128,9250651797,24833.16456114165449703633708
1771942260000000000,93255,9263279076,24833.19681518417243043268457
1771942320000000000,93611,9298680343,24833.30042142483255173003173
1771942380000000000,93770,9314490576,24833.34375599872027300842487
1771942440000000000,93990,9336360154,24833.38694010001063942972657
1771942500000000000,94246,9361804788,24833.42738153343377968295737
1771942560000000000,94454,9382479453,24833.46246056281364473712071
1771942620000000000,94595,9396495229,24833.48810455098049579787515
1771942680000000000,94683,9405241433,24833.50082116113769103218107
1771942740000000000,94954,9432173279,24833.53328717062998925795648
1771942800000000000,95455,9481950349,24833.56123042271227279870096
1771942860000000000,95773,9513540704,24833.56662107274492811126309
1771942920000000000,96071,9543148270,24833.58211635144840794828825
1771942980000000000,96240,9559935057,24833.58026028678304239401496
1771943040000000000,96486,9584367548,24833.57053873100760732126941
1771943100000000000,96667,9602344848,24833.56483598332419543380885
1771943160000000000,97114,9646732046,24833.52566571246164301748461
1771943220000000000,97317,9666890197,24833.50852625954355354151895
1771943280000000000,97947,9729447778,24833.45017713661469978661929
1771943340000000000,98568,9791096557,24833.35503662446230013797581
1771943400000000000,100018,9934958647,24832.92669069567477853986282
1771943460000000000,105330,10462073816,24831.65721067122377290420583
1771943520000000000,109992,10924213638,24829.56405465852061968143138
1771943580000000000,112986,11220865646,24828.00003097728922167348167
1771943640000000000,116523,11570886769,24825.32798031289959922075470
1771943700000000000,120133,11927929679,24822.34206879042394679230520
1771943760000000000,123465,12257583844,24819.95675697566111853561738
1771943820000000000,127140,12620916010,24816.96556945099889885165959
1771943880000000000,130098,12913287031,24814.53794639425663730418608
1771943940000000000,134653,13364522012,24812.89316242489955663817368
1771944000000000000,137910,13687690642,24812.72322891740990501051410
1771944060000000000,142080,14101790087,24813.11600330799549549549550
1771944120000000000,145530,14444804751,24814.13583281797567511853226
1771944180000000000,148081,14698475152,24814.92418338611975878066734
1771944240000000000,150149,14904150008,24815.59985081485724180647224
1771944300000000000,153347,15222545736,24817.15608391425981597292415
1771944360000000000,156810,15567674023,24819.32597251450800331611504
1771944420000000000,160430,15928573626,24821.68800411394377610172661
1771944480000000000,163446,16229392292,24823.78322504068622052543348
1771944540000000000,168539,16737674541,24827.59856917390040287411222
1771944600000000000,170940,16977229288,24829.22266292266292266292266
1771944660000000000,173740,17256439544,24830.83852883619201105099574
1771944720000000000,176338,17515444722,24832.20395206932141682450748
1771944780000000000,178126,17693738448,24833.17770566902080549723230
1771944840000000000,180231,17903554894,24834.17793553828142772331064
1771944900000000000,182388,18118518509,24835.12965354080312301247889
1771944960000000000,185196,18398112733,24836.00176704680446661914944
1771945020000000000,187183,18595798781,24836.38842870346131860265088
1771945080000000000,189267,18803206038,24836.87863969947217423005595
1771945140000000000,190522,18928071257,24837.12019740502409170594472
1771945200000000000,191498,19025176048,24837.30384651536830671860803
1771945260000000000,195094,19382527381,24837.42116748849272658308303
1771945320000000000,197102,19582038714,24837.44294071090095483556737
1771945380000000000,198971,19767818790,24837.56274783762457845615693
1771945440000000000,201113,19980845500,24837.83432697040967018541815
1771945500000000000,202438,20112534562,24837.89427133245734496487814
1771945560000000000,203602,20228239049,24837.96702512745454366852978
1771945620000000000,205723,20439322066,24838.40171735780637070235219
1771945680000000000,208121,20677803586,24838.67988573954574502332778
1771945740000000000,209371,20802132528,24838.84173070769113200968616
1771945800000000000,211758,21039801707,24839.44137529632882819067048
1771945860000000000,213777,21240915266,24840.03806068940999265589844
1771945920000000000,215349,21397538163,24840.53578493515177688310603
1771945980000000000,216569,21519079556,24840.90469550120284990003186
1771946040000000000,218567,21717930458,24841.27345161895437097091510
1771946100000000000,220004,21860839315,24841.41119593280122179596735
1771946160000000000,221298,21989528039,24841.53498788963298357870383
1771946220000000000,222722,22131242514,24841.77866802561040220543997
1771946280000000000,223591,22217698655,24841.89732033042474876001270
1771946340000000000,224862,22344107176,24842.02219138849605535839759
1771946400000000000,226614,22518524427,24842.38002396144986629246207
