t,o,h,l,c,v,instrument_id,known_at_ns,position
1788357600000,29061.75,29061.75,29044.25,29057.5,2046.0,42004177,1788357660000000000,0.3955773955773956
1788357660000,29057.0,29067.0,29050.0,29053.0,1699.0,42004177,1788357720000000000,0.35135135135135137
1788357720000,29053.0,29059.5,29032.25,29058.75,1940.0,42004177,1788357780000000000,0.40786240786240785
1788357780000,29058.25,29061.0,29051.5,29055.5,833.0,42004177,1788357840000000000,0.3759213759213759
1788357840000,29055.75,29084.0,29055.75,29082.25,1670.0,42004177,1788357900000000000,0.6388206388206388
1788357900000,29083.25,29100.5,29080.5,29089.75,1817.0,42004177,1788357960000000000,0.7125307125307125
1788357960000,29089.25,29099.0,29079.75,29097.0,1242.0,42004177,1788358020000000000,0.7837837837837838
1788358020000,29096.75,29109.75,29095.5,29103.0,1382.0,42004177,1788358080000000000,0.8427518427518428
1788358080000,29102.75,29106.75,29088.5,29097.0,1009.0,42004177,1788358140000000000,0.7837837837837838
1788358140000,29096.75,29114.25,29090.0,29096.0,1604.0,42004177,1788358200000000000,0.773955773955774
1788358200000,29096.0,29125.0,29094.5,29108.5,1888.0,42004177,1788358260000000000,0.8968058968058968
1788358260000,29108.0,29114.0,29102.75,29111.5,887.0,42004177,1788358320000000000,0.9262899262899262
1788358320000,29111.75,29114.0,29088.0,29100.25,1409.0,42004177,1788358380000000000,0.8157248157248157
1788358380000,29101.0,29118.25,29100.5,29118.25,1564.0,42004177,1788358440000000000,0.9926289926289926
1788358440000,29117.25,29128.25,29114.75,29127.25,1716.0,42004177,1788358500000000000,1.0810810810810811
1788358500000,29127.75,29134.5,29119.25,29132.25,1879.0,42004177,1788358560000000000,1.1302211302211302
1788358560000,29132.5,29143.5,29131.5,29141.25,1670.0,42004177,1788358620000000000,1.2186732186732188
1788358620000,29141.5,29148.75,29137.5,29147.25,1449.0,42004177,1788358680000000000,1.2776412776412776
1788358680000,29147.0,29157.75,29140.25,29151.0,1556.0,42004177,1788358740000000000,1.3144963144963144
1788358740000,29151.0,29163.5,29151.0,29160.5,1578.0,42004177,1788358800000000000,1.4078624078624078
1788358800000,29160.5,29168.5,29149.25,29150.25,1586.0,42004177,1788358860000000000,1.307125307125307
1788358860000,29149.5,29177.0,29149.25,29175.5,1988.0,42004177,1788358920000000000,1.5552825552825553
1788358920000,29175.5,29183.25,29172.75,29178.75,1402.0,42004177,1788358980000000000,1.5872235872235871
1788358980000,29180.25,29188.5,29172.75,29186.0,1694.0,42004177,1788359040000000000,1.6584766584766584
1788359040000,29185.5,29186.0,29170.0,29173.25,1015.0,42004177,1788359100000000000,1.5331695331695332
1788359100000,29173.0,29178.25,29160.25,29168.75,1261.0,42004177,1788359160000000000,1.488943488943489
1788359160000,29168.75,29189.0,29168.0,29188.25,1355.0,42004177,1788359220000000000,1.6805896805896805
1788359220000,29188.0,29188.25,29171.5,29178.25,1009.0,42004177,1788359280000000000,1.5823095823095823
1788359280000,29178.5,29187.5,29175.75,29186.25,919.0,42004177,1788359340000000000,1.660933660933661
1788359340000,29186.75,29193.0,29181.5,29187.25,1183.0,42004177,1788359400000000000,1.6707616707616708
1788359400000,29187.0,29192.25,29172.75,29175.5,1177.0,42004177,1788359460000000000,1.5552825552825553
1788359460000,29174.25,29191.5,29174.25,29188.5,1192.0,42004177,1788359520000000000,1.683046683046683
1788359520000,29188.5,29189.0,29176.25,29177.25,845.0,42004177,1788359580000000000,1.5724815724815724
1788359580000,29177.5,29189.75,29172.25,29189.0,997.0,42004177,1788359640000000000,1.6879606879606879
1788359640000,29188.5,29206.25,29186.25,29205.0,2181.0,42004177,1788359700000000000,1.8452088452088453
1788359700000,29204.5,29213.0,29197.75,29199.5,1481.0,42004177,1788359760000000000,1.7911547911547911
1788359760000,29199.0,29204.25,29191.25,29199.75,1167.0,42004177,1788359820000000000,1.7936117936117937
1788359820000,29199.5,29203.5,29192.75,29193.0,612.0,42004177,1788359880000000000,1.7272727272727273
1788359880000,29192.75,29195.5,29173.25,29177.25,1192.0,42004177,1788359940000000000,1.5724815724815724
1788359940000,29177.75,29186.25,29168.5,29185.75,1050.0,42004177,1788360000000000000,1.656019656019656
1788360000000,29186.25,29197.0,29182.0,29193.75,1027.0,42004177,1788360060000000000,1.7346437346437347
1788360060000,29194.0,29197.25,29179.0,29182.5,862.0,42004177,1788360120000000000,1.624078624078624
1788360120000,29181.75,29200.25,29181.25,29186.0,1049.0,42004177,1788360180000000000,1.6584766584766584
1788360180000,29185.75,29196.75,29181.75,29195.0,842.0,42004177,1788360240000000000,1.746928746928747
1788360240000,29195.0,29203.0,29192.0,29201.5,848.0,42004177,1788360300000000000,1.8108108108108107
1788360300000,29201.75,29202.5,29182.25,29182.25,807.0,42004177,1788360360000000000,1.6216216216216217
1788360360000,29182.75,29184.5,29175.0,29176.25,867.0,42004177,1788360420000000000,1.5626535626535627
1788360420000,29176.5,29179.25,29171.25,29173.5,503.0,42004177,1788360480000000000,1.5356265356265357
1788360480000,29173.0,29175.5,29159.0,29160.0,1124.0,42004177,1788360540000000000,1.402948402948403
1788360540000,29160.0,29161.75,29146.0,29160.75,1457.0,42004177,1788360600000000000,1.4103194103194103
1788360600000,29160.25,29160.5,29140.0,29140.25,1341.0,42004177,1788360660000000000,1.2088452088452089
1788360660000,29140.5,29154.25,29138.5,29151.5,1226.0,42004177,1788360720000000000,1.3194103194103195
1788360720000,29151.0,29153.25,29141.25,29142.0,870.0,42004177,1788360780000000000,1.2260442260442261
1788360780000,29143.0,29143.75,29128.5,29132.25,1177.0,42004177,1788360840000000000,1.1302211302211302
1788360840000,29132.75,29135.75,29121.75,29130.25,916.0,42004177,1788360900000000000,1.1105651105651106
1788360900000,29130.0,29140.75,29127.75,29132.75,995.0,42004177,1788360960000000000,1.135135135135135
1788360960000,29132.5,29136.0,29123.0,29127.0,970.0,42004177,1788361020000000000,1.0786240786240786
1788361020000,29126.75,29136.0,29123.0,29136.0,665.0,42004177,1788361080000000000,1.1670761670761671
1788361080000,29135.25,29138.0,29116.0,29120.75,1095.0,42004177,1788361140000000000,1.0171990171990173
1788361140000,29121.0,29121.25,29111.25,29120.25,859.0,42004177,1788361200000000000,1.0122850122850122
