price,volume
24694.5,2
24694.75,2
24695.0,8
24695.25,15
24695.5,3
24695.75,5
24696.0,9
24696.25,5
24696.5,8
24696.75,15
24697.0,25
24697.25,26
24697.5,34
24697.75,64
24698.0,32
24698.25,31
24698.5,15
24698.75,45
24699.0,43
24699.25,28
24699.5,32
24699.75,40
24700.0,98
24700.25,102
24700.5,38
24700.75,37
24701.0,65
24701.25,45
24701.5,26
24701.75,29
24702.0,40
24702.25,23
24702.5,40
24702.75,43
24703.0,42
24703.25,49
24703.5,36
24703.75,43
24704.0,35
24704.25,39
24704.5,58
24704.75,33
24705.0,38
24705.25,38
24705.5,32
24705.75,38
24706.0,44
24706.25,35
24706.5,39
24706.75,35
24707.0,45
24707.25,48
24707.5,66
24707.75,44
24708.0,69
24708.25,75
24708.5,62
24708.75,76
24709.0,89
24709.25,96
24709.5,117
24709.75,94
24710.0,128
24710.25,122
24710.5,122
24710.75,82
24711.0,107
24711.25,84
24711.5,88
24711.75,103
24712.0,122
24712.25,105
24712.5,83
24712.75,96
24713.0,84
24713.25,80
24713.5,85
24713.75,78
24714.0,97
24714.25,48
24714.5,73
24714.75,59
24715.0,55
24715.25,60
24715.5,40
24715.75,64
24716.0,70
24716.25,74
24716.5,54
24716.75,50
24717.0,43
24717.25,45
24717.5,59
24717.75,61
24718.0,58
24718.25,42
24718.5,71
24718.75,44
24719.0,42
24719.25,31
24719.5,28
24719.75,38
24720.0,74
24720.25,76
24720.5,111
24720.75,91
24721.0,111
24721.25,129
24721.5,154
24721.75,138
24722.0,132
24722.25,123
24722.5,135
24722.75,145
24723.0,159
24723.25,133
24723.5,123
24723.75,121
24724.0,212
24724.25,145
24724.5,153
24724.75,159
24725.0,181
24725.25,177
24725.5,171
24725.75,228
24726.0,234
24726.25,203
24726.5,220
24726.75,188
24727.0,180
24727.25,171
24727.5,174
24727.75,163
24728.0,161
24728.25,137
24728.5,108
24728.75,109
24729.0,114
24729.25,91
24729.5,118
24729.75,106
24730.0,119
24730.25,66
24730.5,67
24730.75,63
24731.0,82
24731.25,71
24731.5,79
24731.75,96
24732.0,100
24732.25,101
24732.5,95
24732.75,96
24733.0,69
24733.25,65
24733.5,60
24733.75,70
24734.0,83
24734.25,100
24734.5,81
24734.75,92
24735.0,114
24735.25,97
24735.5,99
24735.75,82
24736.0,196
24736.25,109
24736.5,119
24736.75,80
24737.0,133
24737.25,111
24737.5,88
24737.75,82
24738.0,100
24738.25,78
24738.5,92
24738.75,66
24739.0,112
24739.25,73
24739.5,109
24739.75,92
24740.0,171
24740.25,100
24740.5,107
24740.75,83
24741.0,112
24741.25,99
24741.5,90
24741.75,80
24742.0,105
24742.25,85
24742.5,78
24742.75,71
24743.0,68
24743.25,72
24743.5,67
24743.75,82
24744.0,70
24744.25,74
24744.5,54
24744.75,65
24745.0,99
24745.25,42
24745.5,57
24745.75,42
24746.0,82
24746.25,41
24746.5,53
24746.75,46
24747.0,48
24747.25,44
24747.5,49
24747.75,36
24748.0,42
24748.25,33
24748.5,27
24748.75,35
24749.0,36
24749.25,36
24749.5,19
24749.75,44
24750.0,66
24750.25,29
24750.5,12
24750.75,10
24751.0,25
24751.25,25
24751.5,20
24751.75,28
24752.0,32
24752.25,50
24752.5,37
24752.75,29
24753.0,71
24753.25,37
24753.5,44
24753.75,13
24754.0,29
24754.25,22
24754.5,21
24754.75,25
24755.0,54
24755.25,30
24755.5,38
24755.75,36
24756.0,41
24756.25,40
24756.5,36
24756.75,62
24757.0,50
24757.25,58
24757.5,47
24757.75,38
24758.0,53
24758.25,56
24758.5,64
24758.75,56
24759.0,53
24759.25,72
24759.5,43
24759.75,98
24760.0,66
24760.25,43
24760.5,51
24760.75,64
24761.0,51
24761.25,40
24761.5,29
24761.75,36
24762.0,87
24762.25,42
24762.5,40
24762.75,41
24763.0,42
24763.25,31
24763.5,32
24763.75,39
24764.0,79
24764.25,36
24764.5,54
24764.75,53
24765.0,63
24765.25,38
24765.5,84
24765.75,65
24766.0,120
24766.25,112
24766.5,118
24766.75,138
24767.0,140
24767.25,156
24767.5,179
24767.75,128
24768.0,283
24768.25,197
24768.5,153
24768.75,143
24769.0,204
24769.25,149
24769.5,107
24769.75,90
24770.0,134
24770.25,87
24770.5,88
24770.75,92
24771.0,82
24771.25,99
24771.5,79
24771.75,67
24772.0,77
24772.25,52
24772.5,83
24772.75,54
24773.0,52
24773.25,54
24773.5,67
24773.75,60
24774.0,78
24774.25,58
24774.5,81
24774.75,79
24775.0,85
24775.25,75
24775.5,60
24775.75,60
24776.0,114
24776.25,54
24776.5,74
24776.75,47
24777.0,57
24777.25,58
24777.5,53
24777.75,45
24778.0,52
24778.25,49
24778.5,27
24778.75,46
24779.0,51
24779.25,49
24779.5,31
24779.75,36
24780.0,44
24780.25,40
24780.5,28
24780.75,34
24781.0,28
24781.25,22
24781.5,13
24781.75,15
24782.0,20
24782.25,19
24782.5,19
24782.75,27
24783.0,24
24783.25,20
24783.5,30
24783.75,30
24784.0,25
24784.25,30
24784.5,27
24784.75,25
24785.0,42
24785.25,31
24785.5,42
24785.75,37
24786.0,51
24786.25,49
24786.5,44
24786.75,39
24787.0,42
24787.25,45
24787.5,48
24787.75,42
24788.0,58
24788.25,35
24788.5,29
24788.75,31
24789.0,32
24789.25,35
24789.5,28
24789.75,23
24790.0,68
24790.25,23
24790.5,22
24790.75,20
24791.0,21
24791.25,24
24791.5,22
24791.75,23
24792.0,33
24792.25,23
24792.5,34
24792.75,34
24793.0,37
24793.25,57
24793.5,56
24793.75,52
24794.0,49
24794.25,65
24794.5,58
24794.75,38
24795.0,69
24795.25,66
24795.5,54
24795.75,47
24796.0,58
24796.25,60
24796.5,59
24796.75,43
24797.0,66
24797.25,60
24797.5,93
24797.75,63
24798.0,94
24798.25,81
24798.5,100
24798.75,83
24799.0,91
24799.25,103
24799.5,103
24799.75,107
24800.0,156
24800.25,115
24800.5,92
24800.75,129
24801.0,111
24801.25,89
24801.5,98
24801.75,99
24802.0,129
24802.25,113
24802.5,141
24802.75,120
24803.0,136
24803.25,133
24803.5,125
24803.75,118
24804.0,143
24804.25,138
24804.5,154
24804.75,145
24805.0,166
24805.25,121
24805.5,136
24805.75,152
24806.0,178
24806.25,176
24806.5,165
24806.75,162
24807.0,177
24807.25,129
24807.5,128
24807.75,141
24808.0,163
24808.25,167
24808.5,161
24808.75,152
24809.0,148
24809.25,161
24809.5,147
24809.75,138
24810.0,207
24810.25,141
24810.5,121
24810.75,114
24811.0,146
24811.25,128
24811.5,121
24811.75,125
24812.0,149
24812.25,117
24812.5,107
24812.75,91
24813.0,104
24813.25,95
24813.5,87
24813.75,105
24814.0,116
24814.25,105
24814.5,91
24814.75,81
24815.0,106
24815.25,81
24815.5,73
24815.75,68
24816.0,76
24816.25,69
24816.5,66
24816.75,66
24817.0,37
24817.25,44
24817.5,45
24817.75,42
24818.0,57
24818.25,58
24818.5,49
24818.75,40
24819.0,53
24819.25,60
24819.5,61
24819.75,61
24820.0,89
24820.25,55
24820.5,62
24820.75,52
24821.0,42
24821.25,58
24821.5,63
24821.75,60
24822.0,61
24822.25,80
24822.5,82
24822.75,82
24823.0,73
24823.25,63
24823.5,73
24823.75,74
24824.0,115
24824.25,68
24824.5,93
24824.75,73
24825.0,95
24825.25,60
24825.5,67
24825.75,60
24826.0,71
24826.25,62
24826.5,80
24826.75,68
24827.0,64
24827.25,160
24827.5,70
24827.75,77
24828.0,86
24828.25,58
24828.5,64
24828.75,52
24829.0,46
24829.25,43
24829.5,45
24829.75,28
24830.0,28
24830.25,33
24830.5,27
24830.75,14
24831.0,22
24831.25,22
24831.5,9
24831.75,12
24832.0,31
24832.25,19
24832.5,18
24832.75,8
24833.0,10
24833.25,15
24833.5,7
24833.75,7
24834.0,6
24834.25,4
24834.5,3
24834.75,12
24835.0,14
24835.25,7
24835.5,10
24835.75,21
24836.0,22
24836.25,9
24836.5,15
24836.75,13
24837.0,21
24837.25,28
24837.5,40
24837.75,48
24838.0,21
24838.25,34
24838.5,35
24838.75,39
24839.0,54
24839.25,49
24839.5,40
24839.75,43
24840.0,80
24840.25,58
24840.5,25
24840.75,26
24841.0,26
24841.25,25
24841.5,13
24841.75,16
24842.0,21
24842.25,13
24842.5,13
24842.75,8
24843.0,5
24843.25,4
24843.5,18
24843.75,6
24844.0,3
24844.25,3
24844.5,8
24844.75,9
24845.0,15
24845.25,11
24845.5,8
24845.75,23
24846.0,24
24846.25,17
24846.5,47
24846.75,45
24847.0,77
24847.25,32
24847.5,31
24847.75,32
24848.0,35
24848.25,30
24848.5,37
24848.75,20
24849.0,23
24849.25,24
24849.5,26
24849.75,28
24850.0,80
24850.25,26
24850.5,37
24850.75,27
24851.0,28
24851.25,40
24851.5,48
24851.75,36
24852.0,165
24852.25,78
24852.5,73
24852.75,48
24853.0,68
24853.25,85
24853.5,67
24853.75,76
24854.0,93
24854.25,65
24854.5,75
24854.75,59
24855.0,77
24855.25,77
24855.5,95
24855.75,118
24856.0,115
24856.25,104
24856.5,94
24856.75,99
24857.0,151
24857.25,114
24857.5,142
24857.75,134
24858.0,137
24858.25,102
24858.5,110
24858.75,121
24859.0,154
24859.25,141
24859.5,127
24859.75,102
24860.0,138
24860.25,77
24860.5,85
24860.75,65
24861.0,82
24861.25,71
24861.5,80
24861.75,86
24862.0,113
24862.25,113
24862.5,128
24862.75,126
24863.0,133
24863.25,97
24863.5,110
24863.75,105
24864.0,125
24864.25,96
24864.5,104
24864.75,113
24865.0,146
24865.25,126
24865.5,116
24865.75,120
24866.0,139
24866.25,116
24866.5,114
24866.75,141
24867.0,126
24867.25,121
24867.5,137
24867.75,151
24868.0,128
24868.25,122
24868.5,132
24868.75,109
24869.0,150
24869.25,127
24869.5,118
24869.75,139
24870.0,207
24870.25,105
24870.5,91
24870.75,117
24871.0,92
24871.25,92
24871.5,72
24871.75,99
24872.0,116
24872.25,101
24872.5,138
24872.75,108
24873.0,125
24873.25,114
24873.5,104
24873.75,112
24874.0,91
24874.25,101
24874.5,119
24874.75,103
24875.0,111
24875.25,101
24875.5,123
24875.75,144
24876.0,170
24876.25,141
24876.5,170
24876.75,136
24877.0,118
24877.25,133
24877.5,129
24877.75,131
24878.0,128
24878.25,79
24878.5,92
24878.75,65
24879.0,83
24879.25,96
24879.5,96
24879.75,130
24880.0,118
24880.25,95
24880.5,111
24880.75,111
24881.0,118
24881.25,95
24881.5,113
24881.75,108
24882.0,139
24882.25,119
24882.5,117
24882.75,133
24883.0,111
24883.25,110
24883.5,122
24883.75,72
24884.0,92
24884.25,76
24884.5,85
24884.75,81
24885.0,93
24885.25,99
24885.5,90
24885.75,102
24886.0,108
24886.25,76
24886.5,75
24886.75,73
24887.0,52
24887.25,69
24887.5,82
24887.75,77
24888.0,97
24888.25,92
24888.5,85
24888.75,79
24889.0,57
24889.25,55
24889.5,78
24889.75,58
24890.0,78
24890.25,60
24890.5,65
24890.75,58
24891.0,75
24891.25,55
24891.5,53
24891.75,38
24892.0,59
24892.25,27
24892.5,19
24892.75,29
24893.0,21
24893.25,12
24893.5,30
24893.75,22
24894.0,54
