minute,A,B,N,signed_delta,known_at_ns
1771943400000,2691,2621,0,-70,1771943460000000000
1771943460000,2578,2084,0,-494,1771943520000000000
1771943520000,1454,1540,0,86,1771943580000000000
1771943580000,1937,1600,0,-337,1771943640000000000
1771943640000,1762,1848,0,86,1771943700000000000
1771943700000,1696,1636,0,-60,1771943760000000000
1771943760000,2071,1604,0,-467,1771943820000000000
1771943820000,1443,1515,0,72,1771943880000000000
1771943880000,2023,2532,0,509,1771943940000000000
1771943940000,1681,1576,0,-105,1771944000000000000
1771944000000,1962,2208,0,246,1771944060000000000
1771944060000,1669,1781,0,112,1771944120000000000
1771944120000,1292,1259,0,-33,1771944180000000000
1771944180000,1022,1046,0,24,1771944240000000000
1771944240000,1360,1838,0,478,1771944300000000000
1771944300000,1699,1764,0,65,1771944360000000000
1771944360000,1819,1801,0,-18,1771944420000000000
1771944420000,1538,1478,0,-60,1771944480000000000
1771944480000,2537,2556,0,19,1771944540000000000
1771944540000,1286,1115,0,-171,1771944600000000000
1771944600000,1489,1311,0,-178,1771944660000000000
1771944660000,1302,1296,0,-6,1771944720000000000
1771944720000,854,934,0,80,1771944780000000000
1771944780000,1215,890,0,-325,1771944840000000000
1771944840000,956,1201,0,245,1771944900000000000
1771944900000,1619,1189,0,-430,1771944960000000000
1771944960000,990,997,0,7,1771945020000000000
1771945020000,1011,1073,0,62,1771945080000000000
1771945080000,658,597,0,-61,1771945140000000000
1771945140000,434,542,0,108,1771945200000000000
