t,o,h,l,c,v,instrument_id
1763647200000,25230.0,25235.75,25222.5,25230.5,571.0,158704
1763647260000,25229.75,25240.25,25229.0,25238.25,279.0,158704
1763647320000,25238.75,25244.0,25232.5,25243.0,206.0,158704
1763647380000,25243.25,25247.25,25243.0,25243.5,272.0,158704
1763647440000,25243.0,25249.0,25231.0,25234.0,453.0,158704
1763647500000,25233.75,25236.75,25226.5,25234.0,414.0,158704
1763647560000,25232.0,25238.25,25224.5,25225.25,420.0,158704
1763647620000,25225.0,25231.75,25214.75,25215.5,509.0,158704
1763647680000,25215.25,25224.0,25210.5,25219.75,585.0,158704
1763647740000,25218.75,25223.75,25213.0,25215.25,318.0,158704
1763647800000,25214.75,25216.75,25206.75,25208.25,667.0,158704
1763647860000,25208.5,25217.5,25207.25,25213.75,390.0,158704
1763647920000,25212.75,25214.5,25200.25,25202.0,522.0,158704
1763647980000,25202.25,25208.0,25200.5,25202.75,397.0,158704
1763648040000,25202.5,25214.25,25199.5,25208.25,410.0,158704
1763648100000,25207.75,25210.0,25200.0,25207.75,317.0,158704
1763648160000,25208.0,25211.0,25203.0,25208.25,201.0,158704
1763648220000,25208.25,25219.0,25206.25,25217.5,356.0,158704
1763648280000,25216.25,25234.0,25216.0,25227.25,797.0,158704
1763648340000,25227.0,25232.0,25222.75,25230.0,325.0,158704
1763648400000,25230.5,25239.25,25217.75,25222.25,630.0,158704
1763648460000,25222.25,25224.75,25217.25,25218.0,223.0,158704
1763648520000,25217.5,25230.75,25214.0,25228.0,561.0,158704
1763648580000,25228.0,25228.25,25212.0,25214.5,350.0,158704
1763648640000,25215.0,25220.25,25207.5,25207.5,353.0,158704
1763648700000,25209.5,25234.0,25209.5,25230.25,845.0,158704
1763648760000,25230.5,25232.0,25224.0,25225.25,280.0,158704
1763648820000,25226.25,25234.5,25223.0,25228.0,523.0,158704
1763648880000,25227.75,25229.25,25212.0,25214.25,577.0,158704
1763648940000,25214.75,25216.0,25203.25,25210.75,1085.0,158704
1763649000000,25211.5,25249.0,25155.75,25180.0,7596.0,158704
1763649060000,25180.75,25215.5,25176.25,25201.0,3503.0,158704
1763649120000,25200.75,25219.75,25162.75,25194.25,3220.0,158704
1763649180000,25194.25,25197.75,25151.25,25163.0,2425.0,158704
1763649240000,25165.25,25205.0,25165.25,25189.25,2536.0,158704
1763649300000,25190.25,25227.25,25189.25,25197.75,3073.0,158704
1763649360000,25198.25,25207.0,25171.75,25190.5,2529.0,158704
1763649420000,25189.25,25227.75,25189.25,25209.5,1870.0,158704
1763649480000,25209.25,25222.0,25186.5,25206.5,1651.0,158704
1763649540000,25207.25,25219.5,25184.75,25209.25,1709.0,158704
1763649600000,25208.5,25230.0,25176.0,25182.0,2508.0,158704
1763649660000,25181.0,25206.0,25146.0,25160.25,3211.0,158704
1763649720000,25160.5,25199.0,25158.0,25174.75,2013.0,158704
1763649780000,25174.25,25237.25,25170.5,25230.5,3110.0,158704
1763649840000,25230.5,25234.5,25202.75,25211.5,1903.0,158704
1763649900000,25212.25,25221.0,25169.75,25195.75,3356.0,158704
1763649960000,25195.75,25215.0,25185.0,25206.0,1802.0,158704
1763650020000,25205.75,25262.0,25203.75,25261.0,3417.0,158704
1763650080000,25260.75,25268.0,25234.0,25245.0,2241.0,158704
1763650140000,25243.5,25247.75,25198.75,25213.25,2482.0,158704
1763650200000,25213.75,25245.25,25212.5,25235.5,2651.0,158704
