bucket,t,o,h,l,c,v,members,bar_open_et,known_at_ns,bearish_gap_low,bearish_gap_high
1763647200000,1763647200000,25230.0,25240.25,25222.5,25238.25,850.0,2,09:00,1763647320000000000,,
1763647320000,1763647320000,25238.75,25247.25,25232.5,25243.5,478.0,2,09:02,1763647440000000000,,
1763647440000,1763647440000,25243.0,25249.0,25226.5,25234.0,867.0,2,09:04,1763647560000000000,,
1763647560000,1763647560000,25232.0,25238.25,25214.75,25215.5,929.0,2,09:06,1763647680000000000,,
1763647680000,1763647680000,25215.25,25224.0,25210.5,25215.25,903.0,2,09:08,1763647800000000000,25224.0,25226.5
1763647800000,1763647800000,25214.75,25217.5,25206.75,25213.75,1057.0,2,09:10,1763647920000000000,,
1763647920000,1763647920000,25212.75,25214.5,25200.25,25202.75,919.0,2,09:12,1763648040000000000,,
1763648040000,1763648040000,25202.5,25214.25,25199.5,25207.75,727.0,2,09:14,1763648160000000000,,
1763648160000,1763648160000,25208.0,25219.0,25203.0,25217.5,557.0,2,09:16,1763648280000000000,,
1763648280000,1763648280000,25216.25,25234.0,25216.0,25230.0,1122.0,2,09:18,1763648400000000000,,
1763648400000,1763648400000,25230.5,25239.25,25217.25,25218.0,853.0,2,09:20,1763648520000000000,,
1763648520000,1763648520000,25217.5,25230.75,25212.0,25214.5,911.0,2,09:22,1763648640000000000,,
1763648640000,1763648640000,25215.0,25234.0,25207.5,25230.25,1198.0,2,09:24,1763648760000000000,,
1763648760000,1763648760000,25230.5,25234.5,25223.0,25228.0,803.0,2,09:26,1763648880000000000,,
1763648880000,1763648880000,25227.75,25229.25,25203.25,25210.75,1662.0,2,09:28,1763649000000000000,,
1763649000000,1763649000000,25211.5,25249.0,25155.75,25201.0,11099.0,2,09:30,1763649120000000000,,
1763649120000,1763649120000,25200.75,25219.75,25151.25,25163.0,5645.0,2,09:32,1763649240000000000,,
1763649240000,1763649240000,25165.25,25227.25,25165.25,25197.75,5609.0,2,09:34,1763649360000000000,,
1763649360000,1763649360000,25198.25,25227.75,25171.75,25209.5,4399.0,2,09:36,1763649480000000000,,
1763649480000,1763649480000,25209.25,25222.0,25184.75,25209.25,3360.0,2,09:38,1763649600000000000,,
1763649600000,1763649600000,25208.5,25230.0,25146.0,25160.25,5719.0,2,09:40,1763649720000000000,,
1763649720000,1763649720000,25160.5,25237.25,25158.0,25230.5,5123.0,2,09:42,1763649840000000000,,
1763649840000,1763649840000,25230.5,25234.5,25169.75,25195.75,5259.0,2,09:44,1763649960000000000,,
1763649960000,1763649960000,25195.75,25262.0,25185.0,25261.0,5219.0,2,09:46,1763650080000000000,,
1763650080000,1763650080000,25260.75,25268.0,25198.75,25213.25,4723.0,2,09:48,1763650200000000000,,
1763650200000,1763650200000,25213.75,25255.0,25212.5,25243.75,4871.0,2,09:50,1763650320000000000,,
1763650320000,1763650320000,25244.25,25254.5,25217.75,25252.0,4602.0,2,09:52,1763650440000000000,,
1763650440000,1763650440000,25253.0,25263.75,25233.5,25259.75,3602.0,2,09:54,1763650560000000000,,
1763650560000,1763650560000,25259.75,25291.5,25250.25,25272.5,5908.0,2,09:56,1763650680000000000,,
1763650680000,1763650680000,25272.75,25284.0,25255.0,25274.25,2987.0,2,09:58,1763650800000000000,,
1763650800000,1763650800000,25275.0,25299.75,25274.25,25293.25,4870.0,2,10:00,1763650920000000000,,
1763650920000,1763650920000,25292.0,25297.0,25253.5,25272.5,4388.0,2,10:02,1763651040000000000,,
1763651040000,1763651040000,25273.0,25287.75,25226.0,25240.0,4595.0,2,10:04,1763651160000000000,,
1763651160000,1763651160000,25239.5,25240.75,25192.5,25209.75,5159.0,2,10:06,1763651280000000000,25240.75,25253.5
1763651280000,1763651280000,25210.0,25210.75,25185.0,25198.0,4327.0,2,10:08,1763651400000000000,25210.75,25226.0
1763651400000,1763651400000,25197.75,25220.25,25181.5,25194.75,4094.0,2,10:10,1763651520000000000,,
1763651520000,1763651520000,25194.0,25216.0,25188.75,25202.75,2661.0,2,10:12,1763651640000000000,,
1763651640000,1763651640000,25203.75,25204.0,25159.75,25179.25,4748.0,2,10:14,1763651760000000000,,
1763651760000,1763651760000,25178.75,25204.0,25156.75,25203.0,3562.0,2,10:16,1763651880000000000,,
1763651880000,1763651880000,25203.25,25236.5,25200.5,25218.25,3688.0,2,10:18,1763652000000000000,,
1763652000000,1763652000000,25219.5,25233.0,25193.5,25211.25,2788.0,2,10:20,1763652120000000000,,
1763652120000,1763652120000,25211.25,25255.25,25209.5,25244.5,2942.0,2,10:22,1763652240000000000,,
1763652240000,1763652240000,25243.5,25261.0,25228.25,25246.5,3896.0,2,10:24,1763652360000000000,,
1763652360000,1763652360000,25246.0,25260.0,25234.25,25253.75,3180.0,2,10:26,1763652480000000000,,
1763652480000,1763652480000,25254.0,25268.25,25236.0,25258.25,2179.0,2,10:28,1763652600000000000,,
1763652600000,1763652600000,25258.5,25276.25,25254.0,25268.25,3194.0,2,10:30,1763652720000000000,,
1763652720000,1763652720000,25268.75,25281.25,25239.0,25251.75,3203.0,2,10:32,1763652840000000000,,
1763652840000,1763652840000,25252.0,25277.5,25247.25,25275.0,2198.0,2,10:34,1763652960000000000,,
1763652960000,1763652960000,25274.25,25309.5,25272.5,25307.75,4296.0,2,10:36,1763653080000000000,,
1763653080000,1763653080000,25307.25,25310.0,25278.75,25291.75,3046.0,2,10:38,1763653200000000000,,
1763653200000,1763653200000,25291.75,25296.5,25267.0,25282.25,2651.0,2,10:40,1763653320000000000,,
1763653320000,1763653320000,25282.0,25301.25,25275.25,25292.75,2431.0,2,10:42,1763653440000000000,,
1763653440000,1763653440000,25291.5,25305.75,25287.0,25298.5,2581.0,2,10:44,1763653560000000000,,
1763653560000,1763653560000,25298.75,25300.25,25261.75,25269.75,4302.0,2,10:46,1763653680000000000,,
1763653680000,1763653680000,25270.0,25270.25,25228.75,25230.75,4537.0,2,10:48,1763653800000000000,25270.25,25287.0
1763653800000,1763653800000,25232.0,25238.5,25218.0,25219.25,3723.0,2,10:50,1763653920000000000,25238.5,25261.75
1763653920000,1763653920000,25218.75,25226.0,25203.0,25214.75,3090.0,2,10:52,1763654040000000000,25226.0,25228.75
1763654040000,1763654040000,25215.25,25223.0,25175.25,25178.25,5821.0,2,10:54,1763654160000000000,,
1763654160000,1763654160000,25178.0,25206.0,25165.25,25198.0,4840.0,2,10:56,1763654280000000000,,
1763654280000,1763654280000,25197.25,25197.25,25157.5,25162.75,3933.0,2,10:58,1763654400000000000,,
1763654400000,1763654400000,25162.75,25164.75,25111.25,25126.25,8482.0,2,11:00,1763654520000000000,25164.75,25165.25
