bar_open_ns,known_at_ns,previous-18:00 / HLC3,previous-18:00 / close,previous-18:00 / OHLC4,previous-18:00 / native-trades,midnight-00:00 / HLC3,midnight-00:00 / close,midnight-00:00 / OHLC4,midnight-00:00 / native-trades,london-02:00 / HLC3,london-02:00 / close,london-02:00 / OHLC4,london-02:00 / native-trades,cash-09:30 / HLC3,cash-09:30 / close,cash-09:30 / OHLC4,cash-09:30 / native-trades
1771887600000000000,1771887660000000000,24789.666666666668,24789.25,24789.25,24791.609011627905,,,,,,,,,,,,
1771887660000000000,1771887720000000000,24789.504329004332,24789.534090909092,24789.09780844156,24790.787337662336,,,,,,,,,,,,
1771887720000000000,1771887780000000000,24790.79264577894,24790.310704960837,24790.302545691906,24791.999347258483,,,,,,,,,,,,
1771887780000000000,1771887840000000000,24789.81730091614,24788.824524312895,24789.793076109938,24790.715909090908,,,,,,,,,,,,
1771887840000000000,1771887900000000000,24789.33219733853,24788.444011684518,24789.296738072055,24790.12390457644,,,,,,,,,,,,
1771887900000000000,1771887960000000000,24789.63667285096,24793.299010513296,24788.84639764997,24786.503401360544,,,,,,,,,,,,
1771887960000000000,1771888020000000000,24792.29256155055,24795.93006809848,24791.355487166056,24789.474201152436,,,,,,,,,,,,
1771888020000000000,1771888080000000000,24793.02715121136,24796.622807017542,24792.132268170426,24790.27380952381,,,,,,,,,,,,
1771888080000000000,1771888140000000000,24793.6969150641,24797.06730769231,24792.867548076923,24791.107932692306,,,,,,,,,,,,
1771888140000000000,1771888200000000000,24793.999335210385,24797.239206945098,24793.205771938057,24791.45225246363,,,,,,,,,,,,
1771888200000000000,1771888260000000000,24794.363051750377,24797.58299086758,24793.592551369864,24791.84098173516,,,,,,,,,,,,
1771888260000000000,1771888320000000000,24795.232245750503,24798.342156439066,24794.522012748486,24792.84280466724,,,,,,,,,,,,
1771888320000000000,1771888380000000000,24795.580939494863,24798.48532472939,24794.949391132388,24793.276019983346,,,,,,,,,,,,
1771888380000000000,1771888440000000000,24795.72638888889,24798.52693089431,24795.11267784553,24793.48800813008,,,,,,,,,,,,
1771888440000000000,1771888500000000000,24795.759018759018,24798.438410074774,24795.178817394728,24793.60606060606,,,,,,,,,,,,
1771888500000000000,1771888560000000000,24795.782234220336,24798.429618202856,24795.22285962206,24793.66747011184,,,,,,,,,,,,
1771888560000000000,1771888620000000000,24795.9453085957,24798.558095952023,24795.37823275862,24793.884464017992,,,,,,,,,,,,
1771888620000000000,1771888680000000000,24796.02682131207,24798.523196810438,24795.518303733235,24794.00453062704,,,,,,,,,,,,
1771888680000000000,1771888740000000000,24795.989169034092,24798.42658025568,24795.510342684658,24793.991566051136,,,,,,,,,,,,
1771888740000000000,1771888800000000000,24795.675879114704,24798.02317155376,24795.255350522413,24793.72328951803,,,,,,,,,,,,
1771888800000000000,1771888860000000000,24795.566064323608,24797.864389920425,24795.16082974138,24793.649618700263,,,,,,,,,,,,
1771888860000000000,1771888920000000000,24795.4035899935,24797.640513320337,24795.009035899933,24793.526397011046,,,,,,,,,,,,
