# P15-17 AFTER profile 2020-01-02
# wall_seconds=50.254 load_seconds=46.434 candidates=160 supported=148 tape_batches=190809
         29158908 function calls (28239753 primitive calls) in 49.751 seconds

   Ordered by: cumulative time
   List reduced from 3637 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.003    0.003   50.252   50.252 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/rule_discovery/search_run.py:755(evaluate_session)
        1    0.004    0.004   46.391   46.391 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/rule_discovery/search.py:342(load_b02_market)
        1    0.000    0.000   33.067   33.067 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/rule_discovery/search.py:943(warm_session)
       30    0.000    0.000   33.067    1.102 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/rule_discovery/search.py:966(run)
       26    0.000    0.000   31.981    1.230 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/rule_discovery/search.py:990(<lambda>)
       26    0.000    0.000   31.981    1.230 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/rule_discovery/search.py:1461(scan_b02_baseline)
        1    0.000    0.000   20.733   20.733 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/rule_discovery/source_adapters/keani.py:494(scan_b02)
        1    0.000    0.000   20.733   20.733 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/rule_discovery/source_adapters/keani.py:499(_scan_b02_impl)
        1    0.010    0.010   20.599   20.599 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/rule_discovery/source_adapters/keani.py:313(scan_keani_branch_b02)
      375    1.882    0.005   15.084    0.040 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/method_pack/historical_features.py:142(profile)
        6    0.247    0.041   13.842    2.307 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/method_pack/event_cache.py:59(cached_window)
        1    0.000    0.000   12.726   12.726 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/rule_discovery/source_adapters/common.py:208(load_source_market)
        1    0.000    0.000   12.446   12.446 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/method_pack/historical_features.py:95(__init__)
      829    0.052    0.000   11.486    0.014 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/method_pack/strategy_measurements.py:135(coverage)
      829    1.152    0.001    9.050    0.011 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/method_pack/event_time.py:292(coverage)
      136    0.002    0.000    8.566    0.063 /workspace/implementation/.venv/lib/python3.12/site-packages/pyarrow/parquet/core.py:1884(read_table)
      373    0.698    0.002    7.666    0.021 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/method_pack/empirical_tape.py:345(_profile_payload)
      772    0.002    0.000    7.466    0.010 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/method_pack/historical_features.py:132(coverage)
   227045    0.232    0.000    7.111    0.000 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/method_pack/event_time.py:137(interval_state)
      120    0.305    0.003    6.942    0.058 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/method_pack/event_cache.py:35(contract_at)
   228425    1.334    0.000    6.906    0.000 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/method_pack/session_policy.py:92(state)
        6    0.044    0.007    6.421    1.070 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/method_pack/event_time.py:49(identify_sources)
       48    0.000    0.000    6.397    0.133 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/method_pack/historical_features.py:166(prior)
  518/132    0.006    0.000    6.050    0.046 <frozen importlib._bootstrap>:1349(_find_and_load)
   439/53    0.004    0.000    6.046    0.114 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
    77442    0.047    0.000    6.044    0.000 /usr/lib/python3.12/dataclasses.py:1301(asdict)
777911/77442    1.932    0.000    5.920    0.000 /usr/lib/python3.12/dataclasses.py:1325(_asdict_inner)
        1    0.082    0.082    5.908    5.908 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/method_pack/event_cache.py:30(ownership)
   424/53    0.003    0.000    5.902    0.111 <frozen importlib._bootstrap>:911(_load_unlocked)
   366/53    0.002    0.000    5.899    0.111 <frozen importlib._bootstrap_external>:989(exec_module)
        6    3.128    0.521    5.860    0.977 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/method_pack/empirical_tape.py:46(_canonical_manifest)
  1020/72    0.002    0.000    5.842    0.081 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
        1    0.229    0.229    5.827    5.827 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/method_pack/adapters.py:2840(ownership_manifest)
   398/53    0.010    0.000    5.509    0.104 {built-in method builtins.exec}
        1    0.000    0.000    5.494    5.494 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/rule_discovery/source_adapters/keani.py:285(_weekly_high)
      136    0.679    0.005    5.411    0.040 /workspace/implementation/.venv/lib/python3.12/site-packages/pyarrow/parquet/core.py:1387(__init__)
       22    0.000    0.000    4.763    0.216 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/rule_discovery/source_adapters/green_b02.py:2465(scan_b02)
       22    0.000    0.000    4.762    0.216 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/rule_discovery/source_adapters/green_b02.py:2470(_scan_b02_impl)
        1    0.000    0.000    4.494    4.494 /workspace/implementation/.venv/lib/python3.12/site-packages/pyarrow/dataset.py:1(<module>)
     53/3    0.000    0.000    4.467    1.489 <frozen importlib._bootstrap_external>:1295(exec_module)


