# P15-17 BEFORE profile 2026-06-01
# wall_seconds=309.243 load_seconds=180.538 candidates=160 supported=148 tape_batches=324878
         196613572 function calls (191886399 primitive calls) in 306.979 seconds

   Ordered by: cumulative time
   List reduced from 3627 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.013    0.013  309.236  309.236 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/rule_discovery/search_run.py:755(evaluate_session)
        1    0.004    0.004  159.861  159.861 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/rule_discovery/search.py:342(load_b02_market)
      160    0.007    0.000  127.984    0.800 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/rule_discovery/search_run.py:897(_evaluate_candidate)
      154    0.002    0.000  126.890    0.824 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/rule_discovery/search.py:1440(scan_candidate)
        1    0.000    0.000  119.162  119.162 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/rule_discovery/search.py:943(warm_session)
       30    0.000    0.000  119.161    3.972 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/rule_discovery/search.py:966(run)
       26    0.000    0.000  116.293    4.473 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/rule_discovery/search.py:990(<lambda>)
       26    0.000    0.000  116.293    4.473 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/rule_discovery/search.py:1461(scan_b02_baseline)
        6    0.003    0.000  102.465   17.077 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/rule_discovery/source_adapters/refill_b02.py:399(scan_b02)
        6    0.193    0.032  102.462   17.077 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/rule_discovery/source_adapters/refill_b02.py:404(_scan_b02_impl)
    38744    0.641    0.000   61.508    0.002 /usr/lib/python3.12/inspect.py:1251(getsourcelines)
        7    0.000    0.000   57.036    8.148 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/rule_discovery/source_adapters/keani.py:494(scan_b02)
        7    0.000    0.000   57.036    8.148 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/rule_discovery/source_adapters/keani.py:499(_scan_b02_impl)
        7    0.054    0.008   56.532    8.076 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/rule_discovery/source_adapters/keani.py:313(scan_keani_branch_b02)
       47    0.002    0.000   44.379    0.944 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/rule_discovery/source_adapters/sires_b02.py:1621(scan_b02)
       47    0.054    0.001   44.376    0.944 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/rule_discovery/source_adapters/sires_b02.py:1626(_scan_b02_impl)
        7    0.240    0.034   43.387    6.198 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/method_pack/event_cache.py:59(cached_window)
     3336    0.088    0.000   43.227    0.013 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/rule_discovery/source_adapters/refill_b02.py:311(rules_payload)
    23352    0.164    0.000   43.114    0.002 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/rule_discovery/source_adapters/refill_b02.py:47(_file_line)
    43586   42.463    0.001   42.469    0.001 {built-in method posix.stat}
     2573    7.257    0.003   42.362    0.016 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/method_pack/historical_features.py:142(profile)
    38744    0.512    0.000   42.240    0.001 /usr/lib/python3.12/inspect.py:1063(findsource)
    38744    0.107    0.000   40.001    0.001 /usr/lib/python3.12/linecache.py:52(checkcache)
      413    3.311    0.008   34.055    0.082 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/method_pack/empirical_tape.py:345(_profile_payload)
        7    0.026    0.004   33.843    4.835 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/method_pack/event_time.py:49(identify_sources)
        1    0.000    0.000   33.417   33.417 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/rule_discovery/source_adapters/common.py:208(load_source_market)
        1    0.000    0.000   33.194   33.194 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/method_pack/historical_features.py:95(__init__)
