# P15-17 MID profile 2024-03-05
# wall_seconds=85.862 load_seconds=79.188 candidates=160 supported=148 tape_batches=434176
         82734948 function calls (79396098 primitive calls) in 84.337 seconds

   Ordered by: cumulative time
   List reduced from 3590 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.002    0.002   85.859   85.859 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/rule_discovery/search_run.py:755(evaluate_session)
        1    0.004    0.004   79.158   79.158 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/rule_discovery/search.py:345(load_b02_market)
        1    0.000    0.000   64.499   64.499 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/rule_discovery/search.py:946(warm_session)
       30    0.000    0.000   64.499    2.150 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/rule_discovery/search.py:969(run)
       26    0.000    0.000   62.839    2.417 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/rule_discovery/search.py:993(<lambda>)
       26    0.000    0.000   62.839    2.417 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/rule_discovery/search.py:1497(scan_b02_baseline)
        1    0.000    0.000   39.139   39.139 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/rule_discovery/source_adapters/keani.py:494(scan_b02)
        1    0.000    0.000   39.139   39.139 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/rule_discovery/source_adapters/keani.py:499(_scan_b02_impl)
        1    0.027    0.027   39.107   39.107 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/rule_discovery/source_adapters/keani.py:313(scan_keani_branch_b02)
      375    3.924    0.010   30.331    0.081 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/method_pack/historical_features.py:142(profile)
      374    2.045    0.005   22.715    0.061 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/method_pack/empirical_tape.py:345(_profile_payload)
        7    0.235    0.034   19.850    2.836 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/method_pack/event_cache.py:59(cached_window)
   349159    0.202    0.000   18.176    0.000 /usr/lib/python3.12/dataclasses.py:1301(asdict)
3491682/349159    5.985    0.000   17.797    0.000 /usr/lib/python3.12/dataclasses.py:1325(_asdict_inner)
        1    0.000    0.000   13.696   13.696 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/rule_discovery/source_adapters/common.py:208(load_source_market)
        1    0.000    0.000   13.463   13.463 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/method_pack/historical_features.py:95(__init__)
        2    0.000    0.000   13.436    6.718 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/rule_discovery/source_adapters/refill_b02.py:399(scan_b02)
        2    0.024    0.012   13.436    6.718 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/rule_discovery/source_adapters/refill_b02.py:404(_scan_b02_impl)
        7    0.026    0.004   10.872    1.553 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/method_pack/event_time.py:49(identify_sources)
       24   10.331    0.430   10.331    0.430 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/rule_discovery/source_adapters/refill_b02.py:71(touches_after_departure)
       34    0.001    0.000    9.979    0.293 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/method_pack/historical_features.py:166(prior)
       18    0.000    0.000    9.818    0.545 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/rule_discovery/source_adapters/sires_b02.py:1621(scan_b02)
       18    0.010    0.001    9.817    0.545 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/rule_discovery/source_adapters/sires_b02.py:1626(_scan_b02_impl)
        1    0.000    0.000    8.676    8.676 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/rule_discovery/source_adapters/keani.py:285(_weekly_high)
       72    0.007    0.000    7.323    0.102 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/method_pack/native_resolution.py:32(file_digest)
        1    0.077    0.077    7.034    7.034 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/method_pack/event_cache.py:30(ownership)
  3141603    4.333    0.000    6.972    0.000 /usr/lib/python3.12/copy.py:118(deepcopy)
        1    0.149    0.149    6.957    6.957 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/method_pack/adapters.py:2840(ownership_manifest)
      160    0.004    0.000    6.311    0.039 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/rule_discovery/search_run.py:897(_evaluate_candidate)
      154    0.001    0.000    6.219    0.040 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/rule_discovery/search.py:1443(scan_candidate)
      152    5.048    0.033    6.157    0.041 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/rule_discovery/source_adapters/sires_b02.py:1267(enumerate_contacts)
      142    0.016    0.000    5.360    0.038 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/method_pack/adapters.py:2018(_inspect_file)
      791    0.003    0.000    4.647    0.006 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/method_pack/strategy_measurements.py:135(coverage)
      791    0.599    0.001    4.644    0.006 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/method_pack/event_time.py:292(coverage)
61660/61535    4.588    0.000    4.594    0.000 {method 'read' of '_io.BufferedReader' objects}
