# P15-17 R2 profile 2026-06-01
# wall_seconds=49.007 load_seconds=38.251 candidates=160 supported=148 tape_batches=324878
         41633786 function calls (41389588 primitive calls) in 47.115 seconds

   Ordered by: cumulative time
   List reduced from 3661 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.003    0.003   49.001   49.001 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/rule_discovery/search_run.py:755(evaluate_session)
        1    0.003    0.003   38.220   38.220 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/rule_discovery/search.py:342(load_b02_market)
        1    0.000    0.000   24.908   24.908 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/rule_discovery/search.py:943(warm_session)
       30    0.000    0.000   24.908    0.830 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/rule_discovery/search.py:966(run)
       26    0.000    0.000   23.781    0.915 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/rule_discovery/search.py:990(<lambda>)
       26    0.000    0.000   23.781    0.915 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/rule_discovery/search.py:1461(scan_b02_baseline)
        7    0.218    0.031   13.641    1.949 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/method_pack/event_cache.py:59(cached_window)
        1    0.000    0.000   11.702   11.702 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/rule_discovery/source_adapters/common.py:208(load_source_market)
        1    0.000    0.000   11.484   11.484 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/method_pack/historical_features.py:96(__init__)
        1    0.000    0.000   11.262   11.262 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/rule_discovery/source_adapters/keani.py:494(scan_b02)
        1    0.000    0.000   11.262   11.262 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/rule_discovery/source_adapters/keani.py:499(_scan_b02_impl)
        1    0.003    0.003   11.258   11.258 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/rule_discovery/source_adapters/keani.py:313(scan_keani_branch_b02)
      160    0.003    0.000   10.356    0.065 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/rule_discovery/search_run.py:897(_evaluate_candidate)
       22    0.000    0.000   10.250    0.466 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/rule_discovery/source_adapters/green_b02.py:2465(scan_b02)
       22    0.000    0.000   10.250    0.466 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/rule_discovery/source_adapters/green_b02.py:2470(_scan_b02_impl)
      154    0.001    0.000   10.222    0.066 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/rule_discovery/search.py:1440(scan_candidate)
      154    0.000    0.000   10.214    0.066 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/rule_discovery/search.py:1764(scan_or_reuse)
        5    0.000    0.000   10.007    2.001 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/rule_discovery/source_adapters/green_vwap_scalp.py:186(scan_b02)
        5    0.002    0.000   10.001    2.000 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/rule_discovery/source_adapters/green_b02.py:2158(_scan_vwap)
      524    0.002    0.000    9.974    0.019 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/method_pack/historical_features.py:156(vwap)
      187    0.005    0.000    9.972    0.053 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/method_pack/event_time_fast.py:318(vwap)
      561    2.450    0.004    8.955    0.016 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/method_pack/event_time_fast.py:264(_prefix)
        1    0.074    0.074    7.710    7.710 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/method_pack/event_cache.py:30(ownership)
        1    0.112    0.112    7.636    7.636 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/method_pack/adapters.py:2840(ownership_manifest)
      375    0.025    0.000    7.011    0.019 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/method_pack/historical_features.py:143(profile)
      374    2.494    0.007    6.831    0.018 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/method_pack/event_time_fast.py:152(profile_payload)
      142    0.015    0.000    6.138    0.043 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/method_pack/adapters.py:2018(_inspect_file)
  6894340    4.416    0.000    6.049    0.000 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/method_pack/empirical_tape.py:36(_d)
        2    0.000    0.000    5.817    2.908 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/rule_discovery/source_adapters/refill_b02.py:399(scan_b02)
        2    0.028    0.014    5.817    2.908 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/rule_discovery/source_adapters/refill_b02.py:404(_scan_b02_impl)
       43    0.001    0.000    4.966    0.115 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/method_pack/historical_features.py:160(prior)
        1    0.000    0.000    4.237    4.237 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/rule_discovery/source_adapters/keani.py:285(_weekly_high)
      144    3.819    0.027    3.989    0.028 /workspace/implementation/.venv/lib/python3.12/site-packages/pyarrow/parquet/core.py:314(__init__)
        7    0.024    0.003    3.715    0.531 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/method_pack/event_time.py:49(identify_sources)
        7    3.110    0.444    3.658    0.523 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/method_pack/empirical_tape.py:46(_canonical_manifest)
        2    0.000    0.000    3.419    1.710 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/rule_discovery/source_adapters/member.py:583(scan_b02)
        2    0.000    0.000    3.419    1.710 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/rule_discovery/source_adapters/member.py:588(_scan_b02_impl)
        2    0.001    0.000    3.416    1.708 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/rule_discovery/source_adapters/member.py:396(scan_member_branch_b02)
        2    0.000    0.000    3.341    1.670 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/rule_discovery/source_adapters/member.py:347(_kg1_levels)
        2    0.001    0.000    3.336    1.668 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/method_pack/strategy_options.py:140(key_gamma_reference)


