session=2024-03-05 wall_seconds=11.338305
         3953124 function calls (3854097 primitive calls) in 11.322 seconds

   Ordered by: cumulative time
   List reduced from 1901 to 20 due to restriction <20>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.004    0.004   11.324   11.324 /workspace/.worktrees/stage-a-r3/implementation/src/trading_research/research/rule_discovery/engine_slice.py:99(run_candidate_branch_session)
        1    0.000    0.000   10.860   10.860 /workspace/.worktrees/stage-a-r3/implementation/src/trading_research/research/rule_discovery/native.py:1212(build_market_view)
        1    0.001    0.001   10.681   10.681 /workspace/.worktrees/stage-a-r3/implementation/src/trading_research/research/rule_discovery/native.py:926(load_session_arrays)
        1    0.000    0.000    6.387    6.387 /workspace/.worktrees/stage-a-r3/implementation/src/trading_research/research/rule_discovery/native.py:745(_cached_ownership)
        1    0.077    0.077    6.387    6.387 /workspace/.worktrees/stage-a-r3/implementation/src/trading_research/research/method_pack/event_cache.py:30(ownership)
        1    0.098    0.098    6.309    6.309 /workspace/.worktrees/stage-a-r3/implementation/src/trading_research/research/method_pack/adapters.py:2840(ownership_manifest)
      142    0.012    0.000    4.803    0.034 /workspace/.worktrees/stage-a-r3/implementation/src/trading_research/research/method_pack/adapters.py:2018(_inspect_file)
   405/65    0.004    0.000    3.183    0.049 <frozen importlib._bootstrap>:1349(_find_and_load)
    347/7    0.003    0.000    3.182    0.455 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
    336/8    0.002    0.000    3.166    0.396 <frozen importlib._bootstrap>:911(_load_unlocked)
    279/8    0.001    0.000    3.165    0.396 <frozen importlib._bootstrap_external>:989(exec_module)
        1    0.000    0.000    3.137    3.137 /workspace/.worktrees/stage-a-r3/implementation/src/trading_research/research/rule_discovery/native.py:782(contract_selection)
        1    0.000    0.000    3.123    3.123 /workspace/.worktrees/stage-a-r3/implementation/src/trading_research/research/rule_discovery/native.py:756(archive_contract)
        2    0.000    0.000    3.123    1.561 /workspace/implementation/.venv/lib/python3.12/site-packages/pyarrow/parquet/core.py:1884(read_table)
        1    0.005    0.005    3.123    3.123 /workspace/.worktrees/stage-a-r3/implementation/src/trading_research/research/method_pack/event_cache.py:35(contract_at)
   790/15    0.001    0.000    3.117    0.208 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
        2    0.011    0.005    3.109    1.554 /workspace/implementation/.venv/lib/python3.12/site-packages/pyarrow/parquet/core.py:1387(__init__)
    329/8    0.012    0.000    3.104    0.388 {built-in method builtins.exec}
        1    0.000    0.000    3.081    3.081 /workspace/implementation/.venv/lib/python3.12/site-packages/pyarrow/dataset.py:1(<module>)
     53/3    0.000    0.000    3.069    1.023 <frozen importlib._bootstrap_external>:1295(exec_module)


