session=2024-03-05 wall_seconds=3.616070
         477097 function calls (386773 primitive calls) in 3.599 seconds

   Ordered by: cumulative time
   List reduced from 417 to 20 due to restriction <20>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001    3.599    3.599 /workspace/.worktrees/stage-a-r3/implementation/src/trading_research/research/rule_discovery/engine_slice.py:79(run_candidate_branch_session)
        1    0.009    0.009    3.289    3.289 /workspace/.worktrees/stage-a-r3/implementation/src/trading_research/research/rule_discovery/native.py:1120(build_market_view)
        1    0.002    0.002    3.196    3.196 /workspace/.worktrees/stage-a-r3/implementation/src/trading_research/research/rule_discovery/native.py:835(load_session_arrays)
        1    0.196    0.196    2.264    2.264 /workspace/.worktrees/stage-a-r3/implementation/src/trading_research/research/rule_discovery/native.py:235(decode_arrow_table)
        1    0.000    0.000    1.844    1.844 /workspace/.worktrees/stage-a-r3/implementation/src/trading_research/research/rule_discovery/native.py:86(memoized_file_digest)
        1    0.002    0.002    1.842    1.842 /workspace/.worktrees/stage-a-r3/implementation/src/trading_research/research/contracts/identity.py:85(file_digest)
      844    1.189    0.001    1.189    0.001 {method 'read' of '_io.BufferedReader' objects}
      672    0.001    0.000    1.182    0.002 /workspace/.worktrees/stage-a-r3/implementation/src/trading_research/research/contracts/identity.py:88(<lambda>)
        1    0.013    0.013    0.909    0.909 /workspace/.worktrees/stage-a-r3/implementation/src/trading_research/research/rule_discovery/native.py:355(load_span_arrow)
      675    0.656    0.001    0.656    0.001 {method 'update' of '_hashlib.HASH' objects}
      120    0.408    0.003    0.408    0.003 /workspace/implementation/.venv/lib/python3.12/site-packages/pyarrow/compute.py:348(cast)
       27    0.335    0.012    0.335    0.012 /workspace/implementation/.venv/lib/python3.12/site-packages/pyarrow/parquet/core.py:439(read_row_group)
       20    0.003    0.000    0.295    0.015 /workspace/.worktrees/stage-a-r3/implementation/src/trading_research/research/rule_discovery/engine_slice.py:33(_time)
      276    0.216    0.001    0.216    0.001 /workspace/implementation/.venv/lib/python3.12/site-packages/pyarrow/compute.py:246(wrapper)
        1    0.002    0.002    0.171    0.171 /workspace/.worktrees/stage-a-r3/implementation/src/trading_research/research/rule_discovery/registry.py:424(expand_candidate_bank)
        1    0.000    0.000    0.165    0.165 /workspace/.worktrees/stage-a-r3/implementation/src/trading_research/research/rule_discovery/baseline.py:44(load_phase1_registry)
        1    0.000    0.000    0.165    0.165 /workspace/.worktrees/stage-a-r3/implementation/src/trading_research/research/method_pack/historical_runner.py:133(load_registry)
        3    0.006    0.002    0.139    0.046 /workspace/.worktrees/stage-a-r3/implementation/src/trading_research/research/rule_discovery/native.py:212(_ticks_from_decimal_column)
        4    0.000    0.000    0.109    0.027 /workspace/.worktrees/stage-a-r3/implementation/src/trading_research/research/method_pack/empirical_protocol.py:20(content_hash)
        4    0.001    0.000    0.107    0.027 /workspace/.worktrees/stage-a-r3/implementation/src/trading_research/research/method_pack/empirical_protocol.py:16(canonical_bytes)


