family,example_id,session,label,branch,play,side,mode,minutes_from_open,reference_kind,cycle,sweep_depth_points,sweep_depth_in_widths,depth_class,coincident_levels_n,coincident_levels,read_classification,read_aligned,read_big_range,read_open_inside_value,read_day_model,read_bias,side_with_bias,stop_points,first_objective_points,far_objective_points,rr_far,outcome
JJ,JJ-2025-01-28,2025-01-28,0,other_session,london,short,next_bar_open,-384.0,london_high,0,,,,1,pzone_T2_hi,double_break,False,False,False,,,,12.5,69.88,69.88,5.59,stop
JJ,JJ-2025-01-28,2025-01-28,0,other_session,london,long,next_bar_open,-382.0,q75,0,,,,1,pzone_T1_hi,double_break,False,False,False,,,,10.5,37.25,37.25,3.55,stop
JJ,JJ-2025-01-28,2025-01-28,0,other_session,london,short,next_bar_open,-381.0,q75,0,,,,1,pzone_T1_hi,double_break,False,False,False,,,,7.75,36.88,36.88,4.76,stop
JJ,JJ-2025-01-28,2025-01-28,0,other_session,london,short,rejection_close,-336.0,plus_0.33,0,,,,1,range_open,double_break,False,False,False,,,,6.75,111.62,111.62,16.54,stop
JJ,JJ-2025-01-28,2025-01-28,0,other_session,london,short,next_bar_open,-248.0,prth_high,0,,,,2,london_high;onh,double_break,False,False,False,,,,8.75,134.62,134.62,15.39,target
JJ,JJ-2025-01-28,2025-01-28,0,other_session,london,short,next_bar_open,-245.0,prth_high,1,,,,2,london_high;onh,double_break,False,False,False,,,,13.25,125.62,125.62,9.48,target
JJ,JJ-2025-01-28,2025-01-28,0,judas_reversal,double_break,long,signature_close,3.0,box_low,0,,,inside_0_0.33,0,,double_break,False,False,False,,,,24.5,68.75,68.75,2.81,stop
JJ,JJ-2025-01-28,2025-01-28,1,judas_reversal,double_break,long,rejection_close,8.0,onl,0,,,,1,asia_low,double_break,False,False,False,,,,33.0,141.75,141.75,4.3,stop
JJ,JJ-2025-01-28,2025-01-28,0,judas_reversal,double_break,long,next_bar_open,14.0,minus_0.5,0,,,,2,proj_minus_0.5;pzone_T3_lo,double_break,False,False,False,,,,8.5,149.75,149.75,17.62,stop
JJ,JJ-2025-01-28,2025-01-28,0,judas_reversal,double_break,short,rejection_close,65.0,onh,0,,,,2,london_high;prth_high,double_break,False,False,False,,,,8.25,104.0,104.0,12.61,stop
JJ,JJ-2025-05-23-LONDON,2025-05-23,1,other_session,london,long,next_bar_open,-438.0,prth_low,0,,,,0,,single_break,True,True,False,,,,7.0,19.5,19.5,2.79,stop
