family	id	audit	fixture	leakage	spike_flag	notes
block	block.sweep.tbr.3m	pass	pass	0	n/a	report present
block	cisd.fractal.literal	pass	pass	0	n/a	report present
env	env.ev.mean60	pass	pass	0	n/a	report present
env	env.ev.median60	pass	pass	0	n/a	report present
env	env.ev.vix16	pass	pass	0	n/a	report present
env	env.ext.100	pass	pass	0	n/a	report present
env	env.ext.133.from-edge	pass	pass	0	n/a	report present
env	env.ext.133.from-edge.london	pass	pass	0	n/a	report present
env	env.ext.166.from-edge	pass	pass	0	n/a	report present
env	env.ss.avgHL60	fail	pass	0	n/a	code uses half of H-L width; wiki is one-sided 09:00 excursions
env	env.ss.medHL60	pass	pass	0	n/a	report present
env	env.ss.minavg60	pass	pass	0	n/a	report present
env	pz.approx.A	pass	pass	0	n/a	report present
env	pz.learned	pass	pass	0	n/a	report present
fail	fail.box.6-9.gb.c5	pass	pass	0	n/a	report present
fail	fail.box.gb.10-11.gb.c5	pass	pass	0	n/a	report present
fail	fail.box.gb.asia.gb.c5	pass	pass	0	n/a	report present
fail	fail.box.gb.hour.gb.c5	pass	pass	0	n/a	report present
fail	fail.box.gb.london.gb.c5	pass	pass	0	n/a	report present
fail	fail.box.gb.nyam.gb.c5	pass	pass	0	n/a	report present
fail	fail.box.jumbo.london.gb.c5	pass	pass	0	n/a	report present
fail	fail.box.prior-rth.gb.c5	pass	pass	0	n/a	report present
fail	label.aplus	pass	pass	0	n/a	report present
fail	loc.gp	pass	pass	0	n/a	report present
fail	lvl.0930open.below	pass	pass	0	n/a	report present
fail	lvl.0930open	pass	pass	0	n/a	report present
fail	lvl.nwog	pass	pass	0	n/a	report present
fail	lvl.tdo.c5	pass	pass	0	n/a	report present
fail	lvl.tdo	pass	pass	0	n/a	report present
flow	flow.absorption.A	pass	pass	0	n/a	report present
flow	flow.absorption.A.q75	pass	pass	0	n/a	report present
flow	flow.absorption.A.w1m	pass	pass	0	n/a	report present
flow	flow.absorption.A.w5m	pass	pass	0	n/a	report present
flow	flow.absorption.B	pass	pass	0	n/a	report present
flow	flow.absorption.candle.jumbo	pass	pass	0	n/a	report present
flow	flow.bigtrade.100ny	pass	pass	0	n/a	report present
flow	flow.bigtrade.75ldn	pass	pass	0	n/a	report present
flow	flow.bigtrade.q50	pass	pass	0	n/a	report present
flow	flow.bigtrade.q75	pass	pass	0	n/a	report present
flow	flow.bigtrade.q90	pass	pass	0	n/a	report present
flow	flow.bigtrade.q99	pass	pass	0	n/a	report present
flow	flow.cvd.gamma	not-measurable	pass	0	n/a	report present
flow	flow.cvd.ohlc	pass	pass	0	n/a	report present
flow	flow.cvd.part.ohlc	pass	pass	0	n/a	report present
flow	flow.cvd.part.q75	pass	pass	0	n/a	report present
flow	flow.cvd.part.q90	pass	pass	0	n/a	report present
flow	flow.cvd.part.trade	pass	pass	0	n/a	report present
flow	flow.cvd.trade	pass	pass	0	n/a	check 18:00 reset vs AM-only sum in family_flow.scan_trade_cvd
flow	flow.footprint.diag.4x	pass	pass	0	n/a	report present
flow	flow.iceberg.touch.infer	not-measurable	pass	0	n/a	report present
flow	flow.iceberg.touch.k15	not-measurable	pass	0	n/a	report present
flow	flow.iceberg.touch.k20	not-measurable	pass	0	n/a	report present
flow	flow.refill.offtouch	not-measurable	pass	0	n/a	report present
flow	flow.refill.ontouch	pass	pass	0	n/a	report present
flow	flow.smt.ohlc.4	pass	pass	0	n/a	report present
flow	flow.smt.pine.3-3	pass	pass	0	n/a	report present
flow	flow.smt.trade.es	not-measurable	pass	0	n/a	report present
flow	flow.smt.trade.nq	pass	pass	0	n/a	report present
gap	gap.body.adjacent	pass	pass	0	n/a	report present
gap	gap.fvg.first.clock	pass	pass	0	n/a	report present
open	open.dbx.in-range-not-value	pass	pass	0	n/a	report present
open	open.dbx.in-value	pass	pass	0	n/a	report present
open	open.dbx.outside-both	pass	pass	0	n/a	report present
open	open.oneway.A.0930-1000	pass	pass	0	n/a	report present
open	open.oneway.OR.15m	pass	pass	0	n/a	report present
open	open.oneway.OR.5m	pass	pass	0	n/a	report present
open	open.switch.ohlc-vp	pass	pass	0	n/a	report present
open	open.switch.published	pass	pass	0	n/a	report present
options	value.dealer.inventory	not-measurable	pass	0	n/a	report present
options	value.hidden.book	not-measurable	pass	0	n/a	report present
options	value.node.oi.ndx.top3	fail	pass	0	n/a	missing strike; missing distance fields; missing tagged; missing near
options	value.node.oi.ndx.top3.mapped_nq	not-measurable	pass	0	pending-ratio	missing strike; missing distance fields; missing tagged; missing near
options	value.node.oi.ndxp.top3	fail	pass	0	n/a	missing strike; missing distance fields; missing tagged; missing near
